woj	Ogó³em	Miasto	Wieœ
Dolnoœl¹skie	2915238	2037738	877500
Kujawsko-pomorskie	2097634	1269821	827813
Lubelskie	2175700	1011528	1164172
Lubuskie	1022843	649297	373546
£ódzkie	2538677	1621763	916914
Ma³opolskie	3337471	1640965	1696506
Mazowieckie	5268660	3381717	1886943
Opolskie	1016213	532218	483995
Podkarpackie	2127285	881664	1245621
Podlaskie	1202365	724547	477818
Pomorskie	2276176	1498270	777906
Œl¹skie	4630364	3601599	1028765
Œwiêtokrzyskie	1280727	577846	702881
Warmiñsko-mazurskie	1452147	863356	588791
Wielkopolskie	3447441	1925817	1521624
Zachodniopomorskie	1722883	1187746	535137
